ID,Soil_pH,Soil_Moisture_VWC_%,Soil_Temp_C,Rainfall_mm_month,Sunlight_hrs_day,Plant_Age_years,Growth_Rate_cm_month,Annual_Bark_Yield_g_plant,Stress_Classification
142,6.32,34.42,27.16,63.0,10.4,1,2.36,111.46,Mild Stress
143,4.72,31.59,27.55,174.5,8.2,15,3.22,333.58,Mild Stress
144,5.7,30.03,27.78,146.8,8.1,9,6.38,472.87,Optimal
145,5.74,28.41,26.29,203.8,4.8,7,7.83,480.48,Optimal
146,6.03,28.49,31.77,205.9,3.0,10,1.5,177.71,Moderate Stress
147,4.92,26.26,21.88,141.1,8.2,12,1.5,203.61,High Stress
148,4.87,24.69,24.35,140.8,7.3,9,1.5,160.79,Mild Stress
149,5.89,36.8,26.67,173.9,6.6,7,5.78,428.31,Near Optimal
150,5.76,24.99,21.74,130.7,7.9,2,1.5,126.74,Moderate Stress
151,5.74,24.32,26.44,226.3,7.4,15,5.61,455.37,Optimal
152,5.79,18.36,32.32,159.7,9.5,6,1.5,120.12,High Stress
153,5.23,27.62,27.07,40.0,7.7,10,6.98,535.29,Optimal
154,5.73,22.69,27.74,159.4,6.2,12,4.33,372.01,Optimal
155,5.76,37.43,22.97,122.9,9.3,11,2.78,206.45,Mild Stress
156,5.21,35.92,25.03,90.3,7.1,4,5.16,349.33,Optimal
157,6.63,23.17,25.8,111.9,8.4,3,2.71,146.31,Mild Stress
158,5.86,40.18,25.98,186.0,6.6,2,2.68,143.04,Mild Stress
159,4.94,36.59,31.1,253.1,6.3,6,1.5,115.18,Severe Stress
160,5.96,27.0,28.78,197.2,7.7,8,4.61,342.17,Optimal
161,5.06,18.82,23.44,146.6,7.5,6,1.8,169.11,Moderate Stress
162,6.03,39.86,27.79,205.1,8.4,9,2.93,233.49,Slight Deviation
163,6.24,20.83,28.59,154.8,7.0,14,3.56,312.82,Mild Stress
164,5.15,22.82,30.65,141.8,4.2,5,1.5,112.39,Mild Stress
165,6.13,33.22,32.06,116.5,6.7,2,1.5,142.66,Moderate Stress
166,5.83,41.21,23.75,83.6,8.9,8,2.58,118.95,Moderate Stress
167,6.05,35.27,24.41,158.6,7.0,9,5.39,384.6,Optimal
168,6.64,29.4,22.98,188.7,7.1,14,1.5,256.07,High Stress
169,5.47,33.06,26.25,174.7,9.3,10,7.34,538.5,Optimal
170,5.19,35.2,28.49,157.1,6.2,4,5.12,383.54,Optimal
171,5.11,34.96,30.16,128.0,4.7,6,1.61,80.0,Mild Stress
172,5.15,32.46,26.76,213.5,7.2,15,5.45,403.52,Optimal
173,5.56,30.34,25.98,107.6,6.6,11,6.04,468.39,Optimal
174,5.79,28.82,27.49,222.7,5.8,10,7.53,586.07,Optimal
175,5.75,25.48,24.33,124.9,7.2,8,7.19,455.46,Optimal
176,6.05,26.95,33.69,138.6,8.4,9,1.5,148.43,Moderate Stress
177,5.61,21.21,21.86,99.3,7.5,12,1.5,200.05,High Stress
178,6.4,26.81,27.59,152.4,8.1,5,4.81,277.76,Near Optimal
179,5.45,25.21,33.48,233.6,10.8,12,1.5,204.26,Moderate Stress
180,7.0,19.98,27.02,208.4,6.9,6,1.5,80.0,Severe Stress
181,5.94,29.58,26.39,233.8,8.0,11,5.83,455.03,Optimal
182,5.13,38.07,25.86,208.7,6.6,4,3.64,215.57,Slight Deviation
183,5.01,36.06,26.42,119.3,6.0,5,4.92,319.53,Near Optimal
184,5.87,21.04,31.39,161.8,6.4,7,1.5,168.82,High Stress
185,5.48,25.11,19.92,137.1,6.6,9,1.5,177.65,High Stress
186,5.99,33.23,31.91,253.2,8.1,10,1.57,173.92,Moderate Stress
187,5.86,24.01,22.44,114.2,11.7,11,3.06,305.52,Slight Deviation
188,5.56,28.7,26.15,229.2,6.2,13,6.02,405.69,Optimal
189,5.13,33.86,25.63,229.1,6.8,6,6.3,433.15,Optimal
190,4.77,27.35,28.88,280.6,7.4,14,1.66,183.94,Moderate Stress
191,5.35,30.98,21.89,157.5,8.2,6,2.81,248.73,Mild Stress
192,6.07,21.62,28.48,219.2,8.0,8,3.94,324.45,Slight Deviation
193,5.72,26.33,33.48,305.5,9.8,11,1.5,203.32,Moderate Stress
194,4.91,33.37,22.64,146.0,3.1,4,1.62,186.79,Moderate Stress
195,5.7,21.44,27.61,95.6,3.2,3,4.68,344.22,Near Optimal
196,5.81,31.27,24.88,76.6,6.6,14,5.63,444.29,Optimal
197,5.11,31.07,28.36,219.2,9.5,7,4.79,343.36,Optimal
198,5.68,32.22,27.06,76.4,4.7,5,7.01,481.63,Optimal
199,5.63,30.73,24.95,159.5,3.0,2,4.29,278.17,Optimal
200,4.97,38.41,28.56,204.1,8.5,2,1.5,130.68,Moderate Stress
201,5.8,29.73,32.77,190.2,7.9,11,1.5,99.94,Moderate Stress
202,5.91,26.62,26.39,203.4,5.5,6,7.37,556.03,Optimal
203,6.2,28.51,29.3,192.2,5.7,8,3.06,249.74,Slight Deviation
204,6.18,30.68,22.86,250.3,5.8,1,2.26,86.81,Mild Stress
205,4.84,32.22,23.94,127.6,7.7,15,2.22,221.22,Moderate Stress
206,5.08,31.46,28.51,142.8,6.4,11,2.67,173.67,Near Optimal
207,5.88,25.35,31.75,137.5,8.4,6,1.5,99.84,Moderate Stress
208,5.88,25.55,28.14,225.7,3.0,12,4.58,365.82,Optimal
209,5.88,21.85,26.0,229.5,6.0,2,4.34,329.42,Near Optimal
210,7.0,34.25,27.0,204.8,5.5,2,1.5,120.37,High Stress
211,5.91,22.55,23.0,245.1,7.0,7,3.47,272.35,Slight Deviation
212,6.22,24.38,28.93,115.2,6.5,10,2.61,196.87,Slight Deviation
213,6.12,24.55,29.82,271.7,8.9,1,1.99,98.54,Mild Stress
214,5.96,33.09,25.55,263.8,4.2,6,6.94,438.26,Optimal
215,5.43,28.74,25.5,220.5,7.6,14,6.79,494.69,Optimal
216,6.02,34.68,27.85,278.0,8.5,7,5.89,397.1,Optimal
217,5.17,27.62,25.6,88.9,10.8,14,5.12,409.54,Optimal
218,5.47,31.48,26.79,151.2,6.6,8,6.61,448.73,Optimal
219,5.33,26.33,33.72,139.6,8.1,7,1.5,122.5,Moderate Stress
220,5.65,40.28,26.21,219.7,4.3,6,4.34,313.13,Slight Deviation
221,6.87,19.95,25.85,122.2,3.2,9,2.08,185.8,Severe Stress
222,4.57,34.34,24.93,221.7,9.0,13,2.47,196.36,Moderate Stress
223,5.98,31.73,29.38,255.4,7.5,3,3.74,249.6,Slight Deviation
224,4.71,34.44,26.42,218.2,9.6,11,1.74,188.31,Moderate Stress
225,5.34,29.55,24.92,195.6,5.0,6,7.17,422.91,Optimal
226,6.2,27.25,31.23,125.7,8.4,4,1.86,122.9,Moderate Stress
227,5.64,29.8,31.54,133.4,10.9,2,1.5,126.9,Moderate Stress
228,5.01,30.73,25.08,248.7,8.3,1,3.27,164.42,Near Optimal
229,5.21,35.69,21.03,222.9,8.0,12,1.5,142.52,Moderate Stress
230,5.97,39.64,30.22,177.9,7.5,12,2.34,225.03,Moderate Stress
231,5.2,28.11,24.81,157.0,4.7,14,3.62,351.0,Near Optimal
232,5.72,22.49,29.53,68.6,9.9,1,1.58,166.16,Mild Stress
233,5.63,29.17,20.7,121.1,6.4,11,2.51,261.66,Mild Stress
234,5.24,43.68,29.86,285.1,8.4,10,1.52,209.17,High Stress
235,6.78,22.14,23.12,109.6,4.7,3,2.49,185.53,High Stress
236,5.95,36.85,29.34,190.4,5.4,4,2.5,158.02,Mild Stress
237,4.49,41.42,27.05,235.4,10.1,2,1.5,128.81,Critical Stress
238,5.7,26.63,23.95,111.0,6.9,13,5.49,430.4,Near Optimal
239,5.24,33.62,25.7,190.2,10.1,12,4.01,349.8,Optimal
240,6.07,36.43,29.2,231.6,7.4,11,2.61,211.49,Mild Stress
241,5.16,29.12,27.34,180.7,4.2,11,4.53,376.13,Optimal
242,5.54,28.86,28.87,337.8,9.1,14,3.14,296.18,Near Optimal
243,5.88,25.95,33.32,88.2,6.4,11,1.5,186.09,Moderate Stress
244,6.08,23.19,21.99,238.2,8.8,1,1.95,122.02,Moderate Stress
245,4.94,28.43,32.18,170.5,7.5,4,1.5,112.3,High Stress
246,5.42,24.12,27.33,222.5,4.7,15,4.76,422.56,Optimal
247,5.34,30.65,24.12,204.3,7.8,7,5.8,389.79,Optimal
248,5.24,26.93,22.74,139.7,11.5,10,3.54,236.8,Slight Deviation
249,6.57,27.96,26.39,192.6,8.4,11,2.96,200.01,Mild Stress
250,5.82,21.26,29.95,77.8,7.4,6,2.71,217.05,Mild Stress
251,4.91,33.42,26.59,213.2,9.4,6,3.27,228.55,Slight Deviation
252,6.1,32.37,31.84,196.4,7.9,11,1.5,117.48,Moderate Stress
253,6.77,16.22,22.36,215.1,7.9,9,1.5,165.73,Critical Stress
254,6.17,29.86,26.96,238.2,5.5,14,4.83,398.51,Optimal
255,4.76,38.36,22.99,200.2,7.9,15,1.5,192.51,Severe Stress
256,5.33,24.46,28.16,188.1,9.4,2,3.17,214.84,Near Optimal
257,6.3,35.96,29.84,131.5,6.0,4,2.35,219.03,Moderate Stress
258,5.21,32.97,25.65,140.8,10.1,5,6.33,464.76,Optimal
259,5.84,25.45,18.67,245.3,7.3,1,1.5,103.03,High Stress
260,6.03,28.13,27.64,259.0,5.9,8,4.47,329.24,Optimal
261,5.09,34.02,28.4,166.9,9.3,8,4.56,343.12,Optimal
262,5.57,30.17,28.29,182.5,7.0,6,6.93,474.62,Optimal
263,4.2,36.59,30.95,130.2,8.9,12,1.5,176.61,Critical Stress
264,5.04,26.78,23.57,244.5,7.0,5,1.62,143.31,Mild Stress
265,5.46,30.97,29.18,216.6,7.4,8,4.57,283.12,Near Optimal
266,4.91,24.7,30.82,286.8,8.4,3,1.5,116.85,Moderate Stress
267,6.5,26.44,21.31,131.7,8.0,3,1.5,130.69,High Stress
268,4.81,27.55,28.02,159.2,3.9,2,1.96,116.46,Mild Stress
269,5.36,26.74,25.39,192.7,5.5,5,6.27,412.86,Optimal
270,5.67,35.67,26.74,215.6,9.2,3,6.51,375.7,Optimal
271,6.39,32.79,28.11,168.1,7.3,3,3.98,219.04,Slight Deviation
272,4.81,35.12,25.44,132.0,6.6,15,2.25,262.38,Mild Stress
273,6.24,22.32,24.84,228.5,5.1,6,3.79,249.87,Slight Deviation
274,5.61,28.09,27.11,219.7,5.6,8,6.44,388.21,Optimal
275,5.06,37.39,23.52,129.6,3.9,2,1.5,80.0,Moderate Stress
276,5.85,29.66,23.53,254.5,7.3,4,4.6,274.18,Near Optimal
277,5.71,40.97,29.17,244.4,6.4,11,1.99,234.51,High Stress
278,5.27,32.66,23.32,187.4,5.8,7,5.21,374.87,Near Optimal
279,5.64,30.54,29.13,184.4,7.4,1,2.42,122.69,Mild Stress
280,5.39,28.78,28.48,210.5,8.2,1,2.59,142.83,Near Optimal
281,5.66,30.19,21.48,132.6,11.3,12,1.58,236.72,Moderate Stress
282,5.96,27.86,24.83,181.7,4.8,13,5.53,468.56,Optimal
283,6.47,30.63,30.82,61.6,9.6,10,2.17,171.07,Moderate Stress
284,4.92,36.52,23.86,228.2,9.3,7,4.17,346.92,Mild Stress
285,6.77,22.26,25.51,94.1,6.1,14,2.04,231.58,Moderate Stress
286,4.53,26.25,28.48,262.7,7.9,7,1.8,191.99,Moderate Stress
287,5.52,20.76,29.51,161.8,6.7,1,1.5,92.28,Moderate Stress
288,5.92,31.28,26.2,168.4,7.8,1,4.06,293.1,Optimal
289,5.75,23.73,25.09,145.5,10.2,4,6.28,368.21,Optimal
290,5.26,19.96,31.55,164.2,8.6,5,1.5,121.06,High Stress
291,5.49,31.97,32.56,258.0,8.4,5,1.5,172.58,Moderate Stress
292,5.33,42.97,30.13,43.2,6.7,4,1.5,80.0,High Stress
293,5.28,30.63,27.27,250.2,4.8,8,5.64,400.79,Optimal
294,6.07,32.48,24.41,198.6,7.1,7,5.7,384.23,Optimal
295,5.8,29.51,24.34,113.6,9.7,9,5.26,411.56,Optimal
296,5.22,30.35,28.67,120.9,4.8,7,4.69,374.85,Optimal
297,6.09,32.83,28.34,272.2,5.6,15,5.54,477.96,Optimal
298,5.77,27.74,31.49,128.0,7.7,10,1.5,178.44,Moderate Stress
299,6.05,29.69,29.08,116.6,5.7,1,2.76,175.02,Slight Deviation
300,5.95,30.26,22.19,242.6,6.1,13,3.44,298.41,Slight Deviation
301,5.14,27.74,30.37,198.6,6.7,14,2.63,277.15,Slight Deviation
302,5.29,35.59,23.81,128.4,5.0,7,4.25,362.09,Near Optimal
303,6.01,27.6,25.77,191.9,5.7,1,2.96,156.53,Near Optimal
304,5.94,24.9,27.8,123.6,8.8,7,5.51,372.53,Optimal
305,5.59,32.41,33.39,240.5,5.1,10,1.5,167.36,Moderate Stress
306,5.66,25.03,36.0,238.4,4.6,8,1.5,189.03,High Stress
307,6.3,27.74,28.94,209.3,6.4,11,2.94,272.22,Slight Deviation
308,5.27,30.64,26.41,199.9,8.8,9,6.49,495.82,Optimal
309,5.9,34.23,28.71,276.9,7.1,12,4.13,379.99,Optimal
310,5.49,32.4,29.84,180.0,6.7,3,3.56,258.32,Slight Deviation
311,5.48,29.93,25.97,115.0,7.6,15,6.0,442.76,Optimal
312,6.2,31.99,32.74,204.7,4.4,4,1.5,180.14,Moderate Stress
313,6.05,35.3,27.74,294.7,8.4,4,4.91,376.03,Optimal
314,6.05,31.14,28.59,124.2,8.2,12,4.49,367.62,Optimal
315,6.32,27.59,29.13,160.1,6.8,9,2.91,198.24,Mild Stress
316,5.61,23.11,28.35,202.9,9.3,13,3.83,279.18,Near Optimal
317,5.98,23.23,29.68,177.0,5.5,7,1.87,177.1,Mild Stress
318,5.43,28.68,25.02,126.0,9.5,3,6.46,387.04,Optimal
319,5.78,26.11,25.21,241.7,7.8,10,7.05,442.9,Optimal
320,5.53,28.98,23.48,307.6,6.9,5,4.69,266.12,Near Optimal
321,5.65,29.83,28.41,190.8,7.5,7,5.41,364.15,Optimal
322,5.93,31.36,29.49,130.3,7.3,8,2.43,216.62,Mild Stress
323,5.15,30.7,28.46,94.8,9.7,1,1.78,164.0,Slight Deviation
324,6.75,28.68,32.36,194.2,5.6,12,1.5,202.95,Severe Stress
325,5.05,31.67,26.98,240.7,6.1,2,3.08,187.45,Near Optimal
326,4.93,21.83,29.14,206.1,9.4,7,2.24,203.7,High Stress
327,6.24,23.08,23.51,179.9,6.4,11,2.88,270.97,Mild Stress
328,6.04,27.66,25.76,147.6,9.1,15,5.41,470.48,Optimal
329,5.94,22.63,29.23,119.9,10.6,13,2.53,254.4,Slight Deviation
330,5.95,31.65,29.72,225.9,6.8,14,3.42,353.47,Slight Deviation
331,5.59,37.38,26.06,230.3,8.7,13,4.94,429.26,Near Optimal
332,5.11,37.26,26.77,95.0,5.4,15,3.4,326.89,Slight Deviation
333,5.64,28.51,22.14,267.4,8.9,2,2.88,184.63,Slight Deviation
334,5.23,38.26,25.86,211.6,7.9,7,5.63,425.99,Near Optimal
335,6.14,28.82,29.85,257.0,8.4,15,1.84,205.43,Mild Stress
336,5.52,28.25,28.84,106.2,6.3,9,5.12,326.47,Optimal
337,5.15,27.98,28.6,104.9,4.5,11,5.35,356.07,Optimal
338,5.42,28.73,27.16,171.8,8.4,2,4.09,233.53,Optimal
339,5.83,27.07,27.02,207.7,3.8,7,6.8,487.09,Optimal
340,5.29,31.48,24.89,278.8,6.9,4,6.06,380.8,Optimal
341,5.15,31.85,29.24,218.8,9.2,11,3.2,287.16,Slight Deviation
342,5.73,29.33,28.35,166.7,7.8,13,5.28,403.46,Optimal
343,5.73,31.49,28.57,123.5,11.0,2,2.45,145.94,Slight Deviation
344,5.32,36.49,25.32,247.7,9.3,13,4.48,336.91,Near Optimal
345,5.34,35.23,20.11,126.9,6.3,7,1.5,142.78,Moderate Stress
346,5.73,21.89,30.51,269.6,7.5,13,1.53,189.67,Moderate Stress
347,4.8,19.33,25.47,164.4,7.4,5,1.65,153.44,Moderate Stress
348,4.83,36.68,24.24,267.5,4.7,1,1.89,131.47,Moderate Stress
349,5.2,24.07,29.22,217.3,5.8,5,2.07,157.3,Mild Stress
350,5.48,28.94,25.75,172.5,6.5,12,5.77,389.49,Optimal
351,5.77,23.34,30.39,151.4,3.8,12,2.52,284.67,Slight Deviation
352,6.41,18.26,28.97,161.3,7.6,3,1.5,111.02,Moderate Stress
353,6.07,31.0,29.19,203.6,7.1,7,2.88,231.59,Slight Deviation
354,5.51,33.77,22.63,184.2,4.5,6,4.0,344.02,Near Optimal
355,5.59,26.85,30.88,147.3,8.2,8,1.8,203.79,Mild Stress
356,5.05,18.39,27.84,170.9,8.8,13,1.84,230.03,Mild Stress
357,5.59,27.0,25.82,184.3,7.9,5,6.65,438.92,Optimal
